% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1375,5,12,"[80.86, 62.33]",80.86,80.86,
0,1375,6,14,"[98.38, 99.98]",99.98,99.98,
0,1375,7,16,"[5.95, 99.22]",99.22,99.98,
0,1375,8,18,"[28.9, 100.0]",100.0,100.0,
0,1375,9,20,"[92.19, 0.0]",92.19,100.0,
0,1376,0,2,"[84.49, 56.5]",84.49,84.49,
0,1376,1,4,"[52.08, 0.0]",52.08,84.49,
0,1376,2,6,"[5.65, 0.0]",5.65,84.49,
0,1376,3,8,"[5.75, 7.65]",7.65,84.49,
0,1376,4,10,"[0.0, 49.48]",49.48,84.49,
0,1376,5,12,"[0.74, 53.02]",53.02,84.49,
0,1376,6,14,"[34.6, 43.9]",43.9,84.49,
0,1376,7,16,"[4.26, 18.95]",18.95,84.49,
0,1376,8,18,"[99.22, 20.6]",99.22,99.22,
0,1376,9,20,"[43.84, 99.98]",99.98,99.98,
0,1377,0,2,"[0.0, 53.02]",53.02,53.02,
0,1377,1,4,"[20.51, 0.83]",20.51,53.02,
0,1377,2,6,"[52.08, 44.4]",52.08,53.02,
0,1377,3,8,"[68.17, 3.04]",68.17,68.17,
0,1377,4,10,"[31.66, 92.19]",92.19,92.19,
0,1377,5,12,"[99.22, 9.96]",99.22,99.22,
0,1377,6,14,"[28.9, 26.69]",28.9,99.22,
0,1377,7,16,"[39.57, 2.79]",39.57,99.22,
0,1377,8,18,"[91.19, 13.02]",91.19,99.22,
0,1377,9,20,"[7.43, 99.98]",99.98,99.98,
0,1378,0,2,"[31.66, 26.48]",31.66,31.66,
0,1378,1,4,"[0.0, 6.77]",6.77,31.66,
0,1378,2,6,"[0.0, 13.12]",13.12,31.66,
0,1378,3,8,"[22.65, 14.29]",22.65,31.66,
0,1378,4,10,"[0.66, 25.64]",25.64,31.66,
0,1378,5,12,"[52.2, 3.18]",52.2,52.2,
0,1378,6,14,"[5.7, 53.11]",53.11,53.11,
0,1378,7,16,"[9.61, 80.65]",80.65,80.65,
0,1378,8,18,"[80.86, 71.81]",80.86,80.86,
0,1378,9,20,"[98.38, 99.98]",99.98,99.98,
0,1379,0,2,"[37.37, 2.81]",37.37,37.37,
0,1379,1,4,"[0.0, 6.73]",6.73,37.37,
0,1379,2,6,"[84.03, 14.29]",84.03,84.03,
0,1379,3,8,"[98.38, 0.0]",98.38,98.38,
0,1379,4,10,"[99.81, 52.47]",99.81,99.81,
0,1379,5,12,"[99.22, 80.65]",99.22,99.81,
0,1379,6,14,"[76.59, 92.19]",92.19,99.81,
0,1379,7,16,"[87.0, 0.89]",87.0,99.81,
0,1379,8,18,"[99.98, 60.29]",99.98,99.98,
