% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,45,6,14,"[80.61, 5.03]",80.61,88.41,
0,45,7,16,"[48.15, 67.04]",67.04,88.41,
0,45,8,18,"[55.8, 25.5]",55.8,88.41,
0,45,9,20,"[87.83, 56.57]",87.83,88.41,
0,46,0,2,"[68.33, 4.77]",68.33,68.33,
0,46,1,4,"[82.09, 0.0]",82.09,82.09,
0,46,2,6,"[62.6, 5.69]",62.6,82.09,
0,46,3,8,"[78.95, 10.51]",78.95,82.09,
0,46,4,10,"[88.41, 8.4]",88.41,88.41,
0,46,5,12,"[38.03, 80.61]",80.61,88.41,
0,46,6,14,"[84.81, 5.03]",84.81,88.41,
0,46,7,16,"[73.71, 67.04]",73.71,88.41,
0,46,8,18,"[52.22, 55.8]",55.8,88.41,
0,46,9,20,"[64.62, 56.57]",64.62,88.41,
