% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,29,8,18,"[34.6, 24.55]",34.6,36.7,
0,29,9,20,"[53.61, 64.46]",64.46,64.46,
0,30,0,2,"[0.0, 0.0]",0.0,0.0,
0,30,1,4,"[24.05, 0.0]",24.05,24.05,
0,30,2,6,"[21.86, 36.32]",36.32,36.32,
0,30,3,8,"[32.74, 27.41]",32.74,36.32,
0,30,4,10,"[20.72, 22.3]",22.3,36.32,
0,30,5,12,"[23.1, 16.91]",23.1,36.32,
0,30,6,14,"[20.51, 13.79]",20.51,36.32,
0,30,7,16,"[13.99, 6.77]",13.99,36.32,
0,30,8,18,"[10.93, 9.96]",10.93,36.32,
0,30,9,20,"[10.77, 13.34]",13.34,36.32,
0,31,0,2,"[0.0, 13.02]",13.02,13.02,
0,31,1,4,"[19.28, 0.0]",19.28,19.28,
0,31,2,6,"[19.13, 31.32]",31.32,31.32,
0,31,3,8,"[44.47, 20.67]",44.47,44.47,
0,31,4,10,"[91.19, 60.29]",91.19,91.19,
0,31,5,12,"[80.69, 44.22]",80.69,91.19,
0,31,6,14,"[41.64, 99.22]",99.22,99.22,
0,31,7,16,"[100.0, 87.0]",100.0,100.0,
0,31,8,18,"[98.38, 43.84]",98.38,100.0,
0,31,9,20,"[99.81, 98.49]",99.81,100.0,
0,32,0,2,"[80.65, 11.69]",80.65,80.65,
0,32,1,4,"[69.2, 59.05]",69.2,80.65,
0,32,2,6,"[71.81, 99.98]",99.98,99.98,
0,32,3,8,"[80.86, 96.38]",96.38,99.98,
0,32,4,10,"[63.2, 19.99]",63.2,99.98,
0,32,5,12,"[82.21, 76.24]",82.21,99.98,
0,32,6,14,"[25.35, 44.48]",44.48,99.98,
0,32,7,16,"[6.23, 81.66]",81.66,99.98,
0,32,8,18,"[53.52, 46.57]",53.52,99.98,
0,32,9,20,"[36.46, 17.16]",36.46,99.98,
0,33,0,2,"[24.8, 6.48]",24.8,24.8,
0,33,1,4,"[8.5, 45.01]",45.01,45.01,
0,33,2,6,"[9.96, 76.59]",76.59,76.59,
0,33,3,8,"[0.0, 8.61]",8.61,76.59,
0,33,4,10,"[7.5, 4.3]",7.5,76.59,
0,33,5,12,"[57.33, 5.95]",57.33,76.59,
0,33,6,14,"[32.21, 37.38]",37.38,76.59,
0,33,7,16,"[20.73, 7.65]",20.73,76.59,
0,33,8,18,"[98.38, 84.67]",98.38,98.38,
0,33,9,20,"[28.9, 99.22]",99.22,99.22,
0,34,0,2,"[0.0, 0.0]",0.0,0.0,
0,34,1,4,"[17.16, 0.0]",17.16,17.16,
0,34,2,6,"[20.35, 15.36]",20.35,20.35,
0,34,3,8,"[20.6, 17.26]",20.6,20.6,
0,34,4,10,"[18.26, 24.56]",24.56,24.56,
0,34,5,12,"[25.67, 21.5]",25.67,25.67,
0,34,6,14,"[36.18, 33.97]",36.18,36.18,
0,34,7,16,"[42.48, 5.65]",42.48,42.48,
0,34,8,18,"[0.74, 44.48]",44.48,44.48,
0,34,9,20,"[32.68, 48.91]",48.91,48.91,
0,35,0,2,"[0.0, 31.85]",31.85,31.85,
0,35,1,4,"[66.27, 16.91]",66.27,66.27,
0,35,2,6,"[78.19, 30.44]",78.19,78.19,
0,35,3,8,"[2.33, 3.24]",3.24,78.19,
0,35,4,10,"[51.83, 79.1]",79.1,79.1,
0,35,5,12,"[58.4, 7.5]",58.4,79.1,
0,35,6,14,"[71.11, 45.28]",71.11,79.1,
0,35,7,16,"[38.79, 4.33]",38.79,79.1,
0,35,8,18,"[28.53, 7.54]",28.53,79.1,
0,35,9,20,"[13.99, 36.32]",36.32,79.1,
0,36,0,2,"[21.86, 23.8]",23.8,23.8,
0,36,1,4,"[37.71, 0.0]",37.71,37.71,
0,36,2,6,"[37.3, 15.44]",37.3,37.71,
0,36,3,8,"[40.04, 10.66]",40.04,40.04,
0,36,4,10,"[53.25, 18.95]",53.25,53.25,
0,36,5,12,"[53.02, 14.29]",53.02,53.25,
0,36,6,14,"[74.3, 20.72]",74.3,74.3,
0,36,7,16,"[24.55, 78.93]",78.93,78.93,
0,36,8,18,"[52.08, 68.17]",68.17,78.93,
0,36,9,20,"[64.46, 53.61]",64.46,78.93,
0,37,0,2,"[20.51, 0.0]",20.51,20.51,
0,37,1,4,"[23.1, 26.69]",26.69,26.69,
0,37,2,6,"[18.93, 45.73]",45.73,45.73,
0,37,3,8,"[32.43, 52.47]",52.47,52.47,
0,37,4,10,"[62.33, 38.53]",62.33,62.33,
0,37,5,12,"[50.69, 31.58]",50.69,62.33,
0,37,6,14,"[22.88, 32.74]",32.74,62.33,
0,37,7,16,"[36.32, 27.41]",36.32,62.33,
0,37,8,18,"[24.05, 16.91]",24.05,62.33,
0,37,9,20,"[22.3, 20.72]",22.3,62.33,
0,38,0,2,"[52.56, 31.43]",52.56,52.56,
0,38,1,4,"[24.55, 78.44]",78.44,78.44,
0,38,2,6,"[79.76, 6.48]",79.76,79.76,
0,38,3,8,"[75.4, 71.43]",75.4,79.76,
0,38,4,10,"[73.33, 33.95]",73.33,79.76,
0,38,5,12,"[77.01, 84.62]",84.62,84.62,
0,38,6,14,"[78.6, 78.93]",78.93,84.62,
0,38,7,16,"[52.08, 75.39]",75.39,84.62,
0,38,8,18,"[74.3, 68.17]",74.3,84.62,
0,38,9,20,"[69.03, 73.08]",73.08,84.62,
0,39,0,2,"[18.26, 13.31]",18.26,18.26,
0,39,1,4,"[17.26, 0.0]",17.26,18.26,
0,39,2,6,"[20.6, 36.18]",36.18,36.18,
0,39,3,8,"[25.67, 42.48]",42.48,42.48,
0,39,4,10,"[33.97, 20.35]",33.97,42.48,
0,39,5,12,"[21.5, 58.48]",58.48,58.48,
0,39,6,14,"[45.37, 71.43]",71.43,71.43,
0,39,7,16,"[78.44, 33.95]",78.44,78.44,
0,39,8,18,"[79.76, 53.81]",79.76,79.76,
0,39,9,20,"[73.33, 75.4]",75.4,79.76,
0,40,0,2,"[0.0, 0.0]",0.0,0.0,
0,40,1,4,"[7.88, 0.0]",7.88,7.88,
0,40,2,6,"[7.61, 10.77]",10.77,10.77,
0,40,3,8,"[10.93, 6.77]",10.93,10.93,
0,40,4,10,"[6.73, 13.33]",13.33,13.33,
0,40,5,12,"[12.77, 39.57]",39.57,39.57,
0,40,6,14,"[85.21, 11.77]",85.21,85.21,
0,40,7,16,"[6.48, 63.88]",63.88,85.21,
0,40,8,18,"[43.12, 22.3]",43.12,85.21,
0,40,9,20,"[36.97, 20.72]",36.97,85.21,
0,41,0,2,"[9.96, 1.94]",9.96,9.96,
0,41,1,4,"[6.54, 20.72]",20.72,20.72,
0,41,2,6,"[21.86, 27.41]",27.41,27.41,
0,41,3,8,"[32.74, 36.32]",36.32,36.32,
0,41,4,10,"[24.05, 22.3]",24.05,36.32,
0,41,5,12,"[16.91, 13.79]",16.91,36.32,
0,41,6,14,"[23.1, 6.77]",23.1,36.32,
0,41,7,16,"[20.51, 3.38]",20.51,36.32,
0,41,8,18,"[13.99, 9.96]",13.99,36.32,
0,41,9,20,"[12.77, 9.32]",12.77,36.32,
0,42,0,2,"[0.66, 73.33]",73.33,73.33,
0,42,1,4,"[71.43, 10.04]",71.43,73.33,
0,42,2,6,"[33.95, 79.76]",79.76,79.76,
0,42,3,8,"[78.44, 75.39]",78.44,79.76,
0,42,4,10,"[84.62, 77.01]",84.62,84.62,
0,42,5,12,"[78.6, 75.4]",78.6,84.62,
0,42,6,14,"[0.0, 32.5]",32.5,84.62,
0,42,7,16,"[56.5, 69.03]",69.03,84.62,
0,42,8,18,"[73.08, 58.48]",73.08,84.62,
0,42,9,20,"[22.3, 25.77]",25.77,84.62,
0,43,0,2,"[0.22, 0.0]",0.22,0.22,
0,43,1,4,"[0.0, 4.39]",4.39,4.39,
0,43,2,6,"[6.48, 3.38]",6.48,6.48,
0,43,3,8,"[4.87, 6.87]",6.87,6.87,
0,43,4,10,"[6.7, 3.18]",6.7,6.87,
0,43,5,12,"[6.18, 5.68]",6.18,6.87,
0,43,6,14,"[4.09, 2.77]",4.09,6.87,
0,43,7,16,"[3.13, 43.12]",43.12,43.12,
0,43,8,18,"[39.57, 0.97]",39.57,43.12,
0,43,9,20,"[11.68, 2.9]",11.68,43.12,
0,44,0,2,"[0.0, 58.48]",58.48,58.48,
0,44,1,4,"[58.95, 13.12]",58.95,58.95,
0,44,2,6,"[13.31, 54.55]",54.55,58.95,
0,44,3,8,"[56.5, 69.03]",69.03,69.03,
0,44,4,10,"[73.08, 53.81]",73.08,73.08,
0,44,5,12,"[36.46, 45.37]",45.37,73.08,
0,44,6,14,"[30.77, 25.77]",30.77,73.08,
0,44,7,16,"[19.95, 5.26]",19.95,73.08,
0,44,8,18,"[28.37, 29.82]",29.82,73.08,
0,44,9,20,"[39.2, 18.19]",39.2,73.08,
0,45,0,2,"[81.66, 99.22]",99.22,99.22,
0,45,1,4,"[100.0, 49.48]",100.0,100.0,
0,45,2,6,"[43.84, 87.0]",87.0,100.0,
0,45,3,8,"[98.38, 92.19]",98.38,100.0,
0,45,4,10,"[100.0, 99.81]",100.0,100.0,
0,45,5,12,"[98.49, 32.43]",98.49,100.0,
0,45,6,14,"[44.48, 53.49]",53.49,100.0,
0,45,7,16,"[6.23, 82.21]",82.21,100.0,
0,45,8,18,"[46.57, 32.68]",46.57,100.0,
0,45,9,20,"[86.14, 44.4]",86.14,100.0,
0,46,0,2,"[42.48, 78.6]",78.6,78.6,
0,46,1,4,"[75.39, 53.02]",75.39,78.6,
0,46,2,6,"[77.01, 84.62]",84.62,84.62,
0,46,3,8,"[0.0, 32.5]",32.5,84.62,
0,46,4,10,"[71.43, 73.33]",73.33,84.62,
0,46,5,12,"[79.76, 78.44]",79.76,84.62,
0,46,6,14,"[69.03, 73.08]",73.08,84.62,
0,46,7,16,"[56.5, 28.37]",56.5,84.62,
0,46,8,18,"[22.3, 53.81]",53.81,84.62,
0,46,9,20,"[25.77, 36.46]",36.46,84.62,
