Substance encoding,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield
MORDRED,1349,3,4,[13.31],13.31,43.9
MORDRED,1349,4,5,[99.22],99.22,99.22
MORDRED,1349,5,6,[92.19],92.19,99.22
MORDRED,1349,6,7,[62.33],62.33,99.22
MORDRED,1349,7,8,[65.32],65.32,99.22
MORDRED,1349,8,9,[98.38],98.38,99.22
MORDRED,1349,9,10,[60.29],60.29,99.22
MORDRED,1349,10,11,[0.51],0.51,99.22
MORDRED,1349,11,12,[99.81],99.81,99.81
MORDRED,1349,12,13,[89.95],89.95,99.81
MORDRED,1349,13,14,[85.21],85.21,99.81
MORDRED,1349,14,15,[11.91],11.91,99.81
MORDRED,1349,15,16,[5.65],5.65,99.81
MORDRED,1349,16,17,[96.64],96.64,99.81
MORDRED,1349,17,18,[28.9],28.9,99.81
MORDRED,1349,18,19,[77.52],77.52,99.81
MORDRED,1349,19,20,[33.69],33.69,99.81
MORDRED,1349,20,21,[95.48],95.48,99.81
MORDRED,1349,21,22,[50.74],50.74,99.81
MORDRED,1349,22,23,[88.89],88.89,99.81
MORDRED,1349,23,24,[55.96],55.96,99.81
MORDRED,1349,24,25,[62.04],62.04,99.81
MORDRED,1349,25,26,[83.22],83.22,99.81
MORDRED,1349,26,27,[92.03],92.03,99.81
MORDRED,1349,27,28,[81.63],81.63,99.81
MORDRED,1349,28,29,[45.85],45.85,99.81
MORDRED,1349,29,30,[87.59],87.59,99.81
MORDRED,1349,30,31,[13.87],13.87,99.81
MORDRED,1349,31,32,[32.21],32.21,99.81
MORDRED,1349,32,33,[26.39],26.39,99.81
MORDRED,1349,33,34,[83.85],83.85,99.81
MORDRED,1349,34,35,[21.88],21.88,99.81
MORDRED,1349,35,36,[74.3],74.3,99.81
MORDRED,1349,36,37,[68.17],68.17,99.81
MORDRED,1349,37,38,[71.81],71.81,99.81
MORDRED,1349,38,39,[100.0],100.0,100.0
MORDRED,1349,39,40,[91.39],91.39,100.0
MORDRED,1350,0,1,[0.0],0.0,0.0
MORDRED,1350,1,2,[13.79],13.79,13.79
MORDRED,1350,2,3,[14.29],14.29,14.29
MORDRED,1350,3,4,[26.29],26.29,26.29
MORDRED,1350,4,5,[20.6],20.6,26.29
MORDRED,1350,5,6,[49.57],49.57,49.57
